18-17,23.07818502187729,53.09245199896395
18-19,23.07483896613121,53.09657103382051
18-52,23.096939027309418,53.10291797854006
18-59,23.07621301151812,53.094349997118115
18-60,23.097362983971834,53.10334503650665
18-61,23.078590035438538,53.090157033875585
18-62,23.080630023032427,53.09203902259469
17 17,23.15492520108819,53.097325656563044
17 19,23.15460216253996,53.09688317589462
17 28,23.155534397810698,53.097056010738015
17 31,23.155788704752922,53.096976801753044
17 35,23.154392950236797,53.09690530411899
18-141,23.074549958109856,53.09571197256446
18-331,23.07935396209359,53.09277595952153
